,Author Name,Review Date,Reviewer Ratings,Likes,Review Body,Developer Reply
33,A-te LIN,2019年4月19日,1,239, 這樣不尊重台灣的玩家，連遊戲也要吃台灣的豆腐，少跟我回答遊戲外的無法怎樣怎樣的，你是在台灣上市就尊重台灣玩家。有夠悲哀的。自己人欺負自己人。,
34,薛志鎰,2019年4月19日,1,675, 你們這樣搞有比較好嗎？要用國際版的東西出來就不要搞小動作了台灣不是你們的ok我說誰大家因該知道我們就不說他的國家名字了,
35,何冠陞,2019年4月19日,1,416," ""體驗極差""本來看到可以註冊很高興我就立馬註冊，高高興興等了4天，結果一進去就發現臺灣沒有國旗，陸服就算了台服能別這樣不遵重嗎？(請尊重點我們臺灣)",
36,施囿任,2019年4月19日,2,625, 太過耗電明明畫質開低還超燙，國際版和刺激戰場都不會這樣，請在加油，還有明明是中華台北🇹🇼🇹🇼國家卻是中國🇨🇳台北這樣一點都不尊重台灣玩家，如果改成中華台北🇹🇼還比較能接受😒,
37,王鬆鬆,2019年4月20日,1,29, 希望不要延用中華台北 可以改成台灣兩個字就好了嗎 然後國旗改成青天白日滿地紅的台灣國旗,
38,古哲瑋,2019年5月30日,5,15, 這是大陸的騰訊做的遊戲只是台灣手遊公司代理而已哪有可能給你放什麼台灣國旗，台灣國旗放上去大陸官方就馬上施壓撤銷代理，手遊都為了賺錢哪會聽你們這些玩家的屁話，這麼愛國的話就不要玩了就好啊，有本事就買下是遊戲的版權要怎麼搞就怎麼搞,
39,聖恩Sheng En,2019年4月18日,5,634, 個人覺得跟要錢的電腦版玩起雖然畫質沒有比較好 但自動撿拾還是很不錯 還可以設定檢幾個 希望未來能跟國際服連結 不然造型都沒了,
40,Jhyweei Lee,2019年4月20日,1,292, 開最低畫質手機還是那麼燙，玩個一場手機都快爆掉，還有為什麼沒有台灣國旗，要賺台灣人的錢還不敢放台灣國旗，你們去賺對岸的前就好了啊。,
41,小孟林,2019年4月21日,1,99, 在台灣上架的遊戲居然沒有台灣國旗？中華民國國旗呢？？？可以回答我重點嗎？國旗呢？ 我使用的手機雖然不是最新款，但也不舊啊！note8 9.0系統 6G/64GB 或許遊戲大導致讀取跟遊戲會有點頓挫感！玩一下就順了！但是。。。請回答我重點！台灣的國旗在哪？,"HotCool Game2019年4月20日親愛的玩家，您好！

感謝您聯繫《絕地求生M》！ 
《絕地求生M》 目前對於設備的最低要求如下：

Android:
 -作業系統: Android 5.1.1 或以上.
 -RAM:至少 2GB.

若您的設備已達以上要求但問題仍發生，還請您確認以下幾點：
- 您的畫面設定已設為 【低】和【流暢】
- 充足的內存空間（至少4GB）
- 後台並無運行其他應用程式
- 訊號強且穩定的 WIFI （若問題仍發生可嘗試使用其他WIFI）

若您有其他任何問題，也歡迎您隨時透過遊戲設定內的客戶服務或發送郵件至pubgm@hotcool.com.tw與我們聯繫，我們將竭誠為您服務。"
42,李建慶,2019年4月19日,1,417, 爛~非常爛~ 這個遊戲可以不要在台澎金馬的地方上架好嗎？ 怎麼沒有中華民國的國旗🇹🇼？你是在侮辱這個國家嗎？ 放一個中華臺北就可以解決問題嗎？ 不然當初設計就不要有各國的國旗，既然放了，請尊重我的國家🇹🇼，謝謝~,
43,Jarvis Hge,2019年5月10日,1,81, 中華台北是什麼東西，請尊重“中華民國國旗”及“台灣”這個獨立自主的國家，給一星還嫌太多呢！看到改善為止再來考慮更改評價。(Taiwan NO.1),
44,林長億,2019年4月20日,1,96, 中國台北是什麼擺奧運旗?… 台灣國旗呢? 腳步聲槍聲方位差異太多 畫面卡頓不流暢 走路奔跑切換很卡操作不順,
45,羅征峰,2019年4月22日,5,30, 國際服真的卡網路延遲沒有低於100m/s 過，玩大陸服都在80以下還算流暢，希望能再加油改善後再來給5星（已找到原因改回五星）,"HotCool Game2019年4月26日親愛的玩家，您好!

非常感謝您本次評論所提供的資訊。
為了避免這樣的情況，還請您確認：
- 訊號強且穩定的 WIFI （若問題仍發生可嘗試使用其他WIFI） 
- 後台並無運行其他應用程式
- 允許應用程式權限
- 安裝遊戲於內存空間而並非 SD 卡
- 充足的內存空間（至少4GB）
- 作業系統已更新。
同時這裡也建議您切換 3G/4G 至 WIFI 或更穩定的網路環境，以確認問題是否已解決。

若問題仍持續存在，請您隨時透過遊戲設定內的客戶服務或發送郵件至  pubgm@hotcool.com.tw  與我們聯繫，我們將竭誠為您服務。"
46,Guangting Zheng,2019年4月20日,1,87, 敢出遊戲不敢承認台灣的主權是吧？ 尊重一點吧 臺灣是一個國家 要嗎承認我們的國旗 不需要搞這種小動作 蠻可笑的,
47,王秀圓,2019年5月4日,4,101, 不錯 但是為什麼是 中華台北 雖然是大陸做的遊戲但請加油我很期待更新 謝謝你們 熱酷遊戲和光子室群為我們做出好遊戲,
48,咪兔,2019年4月22日,1,157, 我也是下載到一半，看到負評裡的大夥們，竟然遊戲公司本身不尊重臺灣，看來我可以不用下載了，也請有認識媒體的朋友們，幫忙曝光一下，這麼的不公平對待，何必支持呢？,
49,Brown max,2019年4月19日,1,206, 說這是臺版 沒有臺灣國旗？ 你們公司連基本的尊重都不會 甚麼垃圾公司 你們不放國旗 還講甚麼屁話,
50,賴吉吉,2019年4月29日,1,55, 垃圾遊戲公司不尊重臺灣就算了還不抓外掛。垃圾中國人，一天到晚只知道開外掛破壞遊戲平衡。真的是比電腦版還垃圾。喔~對了手機版畢竟是中國人代理的嘛，難怪會那麼垃圾還不懂得尊重。,
51,Moriarty,2019年4月20日,1,248, 要在台灣上架結果遊戲內的旗幟名稱用Chinese Taipei? 而且還是用會旗? 既然不尊重我們，那就沒必要玩。,
52,已退休的紅Buff,2019年4月23日,1,39, 沒有青天白日滿地紅只給一星不好意思 沒誠意乾脆別再台灣出了吧,
53,泓志陳,2019年4月28日,1,26, 還我中華民國 給我青天白日國旗 要做好…不要因為中共而退縮 硬起來好不好 我說遊戲公司你有看到嗎？ 不要無視要中華民國 國籍跟旗子的玩家,
54,吃雞高手,2019年4月21日,5,25, 畫面清新很不錯這個遊戲希望有更多的改版 我希望學弟弟圖能做得比較好一點假如在一些地方可以用那一些生存的東西,
55,陳大弘,2019年4月19日,1,45, 不要玩，外掛超多 會飛天，狙擊散彈槍 真的不建議下載，玩三場就被外掛搞死了 你有信心打贏屋頂的狙擊散彈槍或者沒有後座力的AK，再按下載,"HotCool Game2019年4月20日親愛的玩家，
感謝您聯繫《絕地求生M》！ 

關於您本次提及的部分，我們皆會仔細調查每個疑似使用不當程式的情形，並會根據調查結果採取必要行動。

若您未來還有任何建議或想法，歡迎您隨時透過遊戲設定內的客戶服務或發送郵件至  pubgm@hotcool.com.tw  與我們聯繫，並提供確切的詳細資訊，我們將竭誠為您服務。"
56,蘇睿萣,2019年4月21日,1,172, 我只知道台灣 沒聽過中華台北 能否請開發商們修正這個Bug 看在遊戲是我喜歡的類型上 不然我跟本覺得這遊戲一顆星都不值得給 也不值玩,
57,唐懿萱,2019年5月27日,1,2, 會瞬間轉方向就算了 射速還比之前陸版慢 建議可以改一下以上問題 不然更新真的沒什麼屁用,
58,沒有影片,2019年4月20日,1,20, 我覺得這款遊戲不管是在腳步聲顯示和槍的精細度也沒有很好，而且上下車都不流暢，感覺動作也硬硬的，沒有真人在移動的感覺，在加上品質也不太好，總之要改的很多。,"HotCool Game2019年4月20日親愛的玩家您好，
為了避免這樣的情況，還請您確認：
- 訊號強且穩定的 WIFI （若問題仍發生可嘗試使用其他WIFI） 
- 後台並無運行其他應用程式
- 允許應用程式權限
- 安裝遊戲於內存空間而並非 SD 卡
- 充足的內存空間（至少4GB）
- 作業系統已更新。
同時這裡也建議您切換 3G/4G 至 WIFI 或更穩定的網路環境，以確認問題是否已解決。
若問題仍持續存在，請您隨時透過遊戲設定內的客戶服務或發送郵件至  pubgm@hotcool.com.tw  與我們聯繫，我們將竭誠為您服務。"
59,IT E,2019年4月19日,4,27, 準星回饋很好，但是開車有bug下車靈敏太高容易誤觸直接倒地，下車跟翻牆有很高的機率會卡，程式的問題，在刺激戰場下車跟翻牆是不會卡的但是這個動畫會，,"HotCool Game2019年4月26日親愛的玩家，您好!

感謝您的評論，我們已經記錄您提供的情形，並會努力提供一個更好的遊戲環境。

若您未來還有任何建議或想法，歡迎您隨時透過遊戲設定內的客戶服務或發送郵件至  pubgm@hotcool.com.tw  與我們聯繫，並提供確切的詳細資訊，我們將竭誠為您服務。"
60,許哲誠,2019年4月22日,5,14, 遊戲內建方便，可是玩一下手機就很燙了，已經把畫質特效調掉最低還是一樣，所以你比較需要改善這點,
61,吳伯軒,2019年4月21日,1,36, 陸版就算了就連台灣自己連個自己的國旗都弄不出來不要笑死人了我們台灣到底有沒有人權?,
62,雪祐,2019年5月17日,1,26, 視角會自己移到另一邊，造成很大的不便，很多設定都調整過但還是修復不了，請官方給個答覆，或是解決方法，謝謝,
63,BHman Soao,2019年4月19日,1,24, 誰跟你中國台北，台灣中國一邊一國，取名字還要像中國國內一樣被審查，何時被管制了,
64,Chris chu,2019年4月24日,5,27," 拋開什麼""中華民國國旗變成奧運梅花旗""之類帶有政治色彩的事，單就遊戲方面這款遊戲覺得值得五星。雖然自己手機不給力偶爾會卡頓，但體驗吃雞的快感卻絲毫不打折。 ⭐⭐⭐⭐⭐",
65,李心怡,2019年4月20日,1,69, 看不起中華民國是不是 不給國旗是不是 中國不就很厲害 我告訴你 中國是最爛的國家也是一個很垃圾很賤的國家,
66,于穆冉,2019年4月25日,4,31, 實在是太當了，玩到決賽就自動跳出，真的很糟糕還是國際服比較好一點！ #我刪除再重新下載，玩的時候有比較好一點了！但發覺好像還是有一些開掛的！其餘還不錯！辛苦了！,"HotCool Game2019年4月26日親愛的玩家，您好!

很抱歉讓您遇到這樣的狀況！我們很樂意為您解決任何您所遇到的問題。
為了避免這樣的情況，還請您確認：
- 訊號強且穩定的 WIFI （若問題仍發生可嘗試使用其他WIFI） 
- 後台並無運行其他應用程式
- 允許應用程式權限
- 安裝遊戲於內存空間而並非 SD 卡
- 充足的內存空間（至少4GB）
- 作業系統已更新。
同時這裡也建議您切換 3G/4G 至 WIFI 或更穩定的網路環境，以確認問題是否已解決。

若問題仍持續存在，請您隨時透過遊戲設定內的客戶服務或發送郵件至  pubgm@hotcool.com.tw  與我們聯繫，我們將竭誠為您服務。"
67,貓咪,2019年4月19日,1,31, 上車卡了1~2秒還有為什麼沒有台灣的國旗只有中華台北還是奧運的國旗請改好嗎,
68,龜沒,2019年4月19日,1,243, 滿心期待的下載打開卻是chinese taipei????? 不要再說什麼遊戲外的東西無法解答這種罐頭回應， 就是你們遊戲裡設定的旗幟啦還遊戲外的東西咧。 中國來的遊戲是嗎? 是啦台灣市場小不需要被重視意見， 反正吃雞遊戲一大堆根本也不缺你們這款。 祝你們這款政治正確的遊戲充滿狼性中國人玩家囉:)),
69,薯條來了,2019年5月25日,1,13, 一堆國外的用模擬器玩第一人稱還開透視 阿都不鎖是三小? 每把都有怎玩? 舉報系統是審美用的? 官方放生他們這樣破壞別人體驗? 要逼我們退坑就對了?,"HotCool Game2019年5月26日親愛的玩家，您好！

很抱歉讓您遇到這樣的情況！
若遇此類情形，您可聯繫我們並盡可能提供相關資訊（如：角色ID，日期時間）和截圖，我們將仔細調查每一單舉報。若確認有玩家進行遊戲時使用非法程式破壞遊戲環境，進而影響多數玩家的遊戲體驗，對此我們絕不姑息，並根據調查結果採取必要行動。

若您未來還有任何建議或想法，歡迎隨時透過遊戲設定內的客服或發送郵件至pubgm@hotcool.com.tw與我們聯繫，我們將竭誠為您服務。"
70,崴哥 WayGe,2019年6月1日,1,1, 身為一個熱愛台灣的台灣人，出了台服卻沒有台灣國旗，沒有台灣國旗不用說，我直接刪掉,
71,凌默,2019年4月22日,4,55, 遊戲有點盪，這是目前的缺點 然後關於許多說這是台服應該要放咱們國旗的朋友們，請仔細看清楚，這不是專屬台灣人的伺服器，只是能從台灣的商店下載，最後同樣都是連到國際服的,
72,許峻益,2019年4月21日,1,34," 官方人員製作這個遊戲卻不解答玩家的問題,這個問題有點讓人困惑,像似開車行駛中一跳車立刻死亡.人物靈敏度跟畫面清晰度又沒有辦法玩的很盡興","HotCool Game2019年4月21日親愛的玩家，
感謝您寶貴的意見，我們很重視您的遊戲體驗。
為了解您本次評論的具體情形，歡迎您隨時透過遊戲設定內的客戶服務或發送郵件至  pubgm@hotcool.com.tw  與我們聯繫，並提供確切的詳細資訊，我們將竭誠為您服務。"
73,樂天,2019年4月19日,1,238, 一直叫人課金讓我很感冒，還有中華台北是什麼鬼，我在自己國家玩還要叫中華台北。,"HotCool Game2019年4月20日親愛的玩家：
關於您的問題，我們會幫您轉告相關單位做評估，也感謝您的建議與指教，若您有任何其他遊戲的問題，也歡迎至遊戲設定內的客戶服務或發電子郵件至pubg@hotcool.com.tw與我們聯繫。"
74,罪罪,2019年4月20日,5,223, 在玩過電腦版的情況下，我覺得已經非常棒了。當然，這是手機上其他吃雞無法媲美的，只是伺服器偶爾不穩，畢竟剛出嘛~再修一下就滿分了，所以給滿心。^_^,
75,Jung-Cheng Hsu,2019年4月24日,1,5, 比直接打國際服還要卡頓………是怎樣有沒有這麼差 首先我是用wifi玩的，再來我手機沒裝sd卡，玩國際服都好好的，就你們問題多上下車卡開門卡剛槍卡，回去玩國際服了掰掰，1星都不值,"HotCool Game2019年4月21日親愛的玩家，為了避免這樣的情況，還請您確認：
- 訊號強且穩定的 WIFI （若問題仍發生可嘗試使用其他WIFI） 
- 後台並無運行其他應用程式
- 允許應用程式權限
- 安裝遊戲於內存空間而並非 SD 卡
- 充足的內存空間（至少4GB）
- 作業系統已更新。
同時這裡也建議您切換 3G/4G 至 WIFI 或更穩定的網路環境，以確認問題是否已解決。
若問題仍持續存在，請您隨時透過遊戲設定內的客戶服務或發送郵件至  pubgm@hotcool.com.tw  與我們聯繫，我們將竭誠為您服務。"
76,夏日,2019年4月21日,1,114, 唉只能說你們這公司真爛，不尊重台灣人國旗都用奧運的，既然出台服那就要有臺灣國旗，沒有就別出台服了唉,
77,陳為投,2019年4月18日,1,44, 太卡了吧 遊戲大廳還會黑屏 我建議跟刺激戰場合作一下 他們的遊戲優化不知道比你們好多少,"HotCool Game2019年4月26日親愛的玩家，您好！
很抱歉讓你遇到這樣的狀況！我們很樂意為你解決任何你所遇到的問題。
為了避免這樣的情況，還請您確認：
- 訊號強且穩定的 WIFI （若問題仍發生可嘗試使用其他WIFI） 
- 後台並無運行其他應用程式
- 允許應用程式權限
- 安裝遊戲於內存空間而並非 SD 卡
- 充足的內存空間（至少4GB）
- 作業系統已更新。
同時這裡也建議您切換 3G/4G 至 WIFI 或更穩定的網路環境，以確認問題是否已解決。
若問題仍持續存在，請您隨時透過遊戲設定內的客戶服務或發送郵件至  pubgm@hotcool.com.tw  與我們聯繫，我們將竭誠為您服務。"
78,shu wei Liu,2019年4月19日,1,37, 沒國旗不好玩，早就在中國服跟以前國際服打膩了。來台灣還要帶政治統戰色彩,
79,Edward Music Channel,2019年4月21日,1,20, 請把台灣國旗做出來 還有上下車卡成這樣 優化跟電腦版一樣廢,
80,王鴻儒,2019年4月18日,3,223, 有卡頓的現象 人物還會飄 延遲 撿東西還要撿好幾次才能撿起來 自身網路確定沒問題 使用手機為oppo R9s Plus,"HotCool Game2019年4月26日親愛的玩家， 您好！

很抱歉讓您遇到這樣的狀況！我們很樂意為您解決任何您所遇到的問題。
為了避免這樣的情況，還請您確認：
- 訊號強且穩定的 WIFI （若問題仍發生可嘗試使用其他WIFI） 
- 後台並無運行其他應用程式
- 允許應用程式權限
- 安裝遊戲於內存空間而並非 SD 卡
- 充足的內存空間（至少4GB）
- 作業系統已更新。
同時這裡也建議您切換 3G/4G 至 WIFI 或更穩定的網路環境，以確認問題是否已解決。

若問題仍持續存在，請您隨時透過遊戲設定內的客戶服務或發送郵件至  pubgm@hotcool.com.tw  與我們聯繫，我們將竭誠為您服務。"
81,Wink Wu,2019年4月19日,1,337, 為什麼沒國旗？ 我在問的就是遊戲內的旗幟怎麼沒有中華民國國旗，而是奧運旗還寫著Chinese Taipei？,"HotCool Game2019年4月20日親愛的玩家：
關於您的問題，我們會幫您轉告相關單位做評估，也感謝您的建議與指教，若您有任何其他遊戲的問題，也歡迎至遊戲設定內的客戶服務或發電子郵件至pubg@hotcool.com.tw與我們聯繫。"
82,我是愛得麵,2019年4月21日,5,69, 太棒了，但希望可在遊戲內切換第一人稱和第三人稱，車內音樂聲音可以在調大聲，對了希望可以有中華民國的國旗,
83,皮皮,2019年5月19日,2,8, 遊戲體驗極差，Bug一堆 每次和朋友四排玩就是停在進去的遊戲畫面被迫要重開，登回遊戲說話對方都聽不到真的很煩，而且還要優化每次下車 跳傘都會卡。,"HotCool Game2019年5月20日親愛的玩家，很抱歉讓你遇到這樣的狀況！我們很樂意為你解決任何你所遇到的問題。
為了避免這樣的情況，還請您確認：
- 訊號強且穩定的 WIFI （若問題仍發生可嘗試使用其他WIFI） 
- 後台並無運行其他應用程式
- 允許應用程式權限
- 安裝遊戲於內存空間而並非 SD 卡
- 充足的內存空間（至少4GB）
- 作業系統已更新。
同時這裡也建議您切換 3G/4G 至 WIFI 或更穩定的網路環境，以確認問題是否已解決。
若問題仍持續存在，請您隨時透過遊戲設定內的客戶服務或發送郵件至  pubgm@hotcool.com.tw  與我們聯繫，我們將竭誠為您服務。"
84,Lee Jun Yi,2019年5月30日,1,5, 請問一下你們鎖帳號的動機到底是什麼?我朋友使用最新版本的模擬器也完全沒有開掛，但你們今天下午卻將他封鎖了，到底有沒有認真的做遊戲，一堆外掛玩家不鎖去鎖正常玩家，真的覺得這樣很厲害嗎?,"HotCool Game2019年5月31日親愛的玩家，您好，
很抱歉讓您遇到這個狀況，若發生此情況麻煩您提供以下資訊到客服信箱 pubg@hotcool.com.tw與我們聯繫，我們將竭誠為您服務。
登入方式、角色ID和UID、使用設備資料、版本(手機系統和遊戲版本)、使用的網路(WIFI/4G)
感謝您支持《絕地求生M》"
